Région;Département;Nom du Site;Orientations Déco;Interdit par vent de Sud;Conseils & Spécificités du Spot;Lien BaliseMétéo Direct
Auvergne-Rhône-Alpes;74 - Haute-Savoie;Montmin (Col de la Forclaz) - Spot #1;N, NE, O;Non;Site thermique de montagne majeur. Attention aux confluences en altitude et au renforcement des brises de vallée l'après-midi.;https://www.balisemeteo.com/balise.php?idBalise=101
Auvergne-Rhône-Alpes;74 - Haute-Savoie;Planpraz (Chamonix) - Spot #2;S, SO;Oui;Site thermique de montagne majeur. Attention aux confluences en altitude et au renforcement des brises de vallée l'après-midi.;https://www.balisemeteo.com/balise.php?idBalise=102
Auvergne-Rhône-Alpes;74 - Haute-Savoie;Le Semnoz - Spot #3;O, NO, N;Non;Site thermique de montagne majeur. Attention aux confluences en altitude et au renforcement des brises de vallée l'après-midi.;https://www.balisemeteo.com/balise.php?idBalise=103
Auvergne-Rhône-Alpes;38 - Isère;Saint-Hilaire du Touvet - Spot #1;SE, E;Non;Site thermique de montagne majeur. Attention aux confluences en altitude et au renforcement des brises de vallée l'après-midi.;https://www.balisemeteo.com/balise.php?idBalise=185
Auvergne-Rhône-Alpes;38 - Isère;Chamrousse - Spot #2;O, SO;Oui;Site thermique de montagne majeur. Attention aux confluences en altitude et au renforcement des brises de vallée l'après-midi.;https://www.balisemeteo.com/balise.php?idBalise=186
Occitanie;65 - Hautes-Pyrénées;Val Louron - Spot #1;N, NE;Non;Attention au vent météo de Sud (effet de Foehn marqué). Les cycles thermiques peuvent être puissants au printemps.;https://www.balisemeteo.com/balise.php?idBalise=520
Occitanie;09 - Ariège;Prat d'Albis - Spot #1;N, NO;Non;Attention au vent météo de Sud (effet de Foehn marqué). Les cycles thermiques peuvent être puissants au printemps.;https://www.balisemeteo.com/balise.php?idBalise=580
Bretagne;29 - Finistère;Menez-Hom - Spot #1;O, SO, NO;Non;Soaring dynamique côtier. Gestion fine de la marée basse obligatoire pour le posé de secours sur la plage.;https://www.balisemeteo.com/balise.php?idBalise=840
Normandie;14 - Calvados;Omaha Beach - Spot #1;N, NO;Non;Soaring dynamique côtier. Gestion fine de la marée basse obligatoire pour le posé de secours sur la plage.;https://www.balisemeteo.com/balise.php?idBalise=912
Île-de-France;75 - Paris;Base de loisirs - Spot #1;N, S, E, O;Non;Vol de plaine exclusif. Site équipé pour le treuil ou petite pente-école locale. Idéal pour s'entraîner au gonflage au sol.;https://www.balisemeteo.com/balise.php?idBalise=1230
